unit_id,machine_type,total_cycles,production_line,max_operating_temp_c,rated_speed_rpm,crew_shift,priority_level,last_overhaul_cycle
46,Turbofan-C,256,LINE-5,526.9,9251,morning,high,24
47,Turbofan-C,214,LINE-2,525.4,9526,night,medium,53
48,Turbofan-A,231,LINE-4,530.0,9571,afternoon,low,54
49,Turbofan-B,215,LINE-1,535.8,9272,morning,medium,56
50,Turbofan-A,198,LINE-1,547.7,9324,afternoon,high,40
51,Turbofan-A,213,LINE-3,536.2,8441,afternoon,low,26
52,Turbofan-A,213,LINE-2,519.8,8200,afternoon,medium,53
53,Turbofan-A,195,LINE-2,521.3,8575,night,high,50
54,Turbofan-C,257,LINE-1,616.2,9609,morning,medium,37
55,Turbofan-C,193,LINE-4,530.7,9271,afternoon,high,10
56,Turbofan-B,275,LINE-1,568.6,9360,afternoon,high,42
57,Turbofan-A,137,LINE-2,558.1,9357,night,high,36
58,Turbofan-C,147,LINE-5,526.6,8603,afternoon,medium,37
59,Turbofan-B,231,LINE-2,548.5,9409,afternoon,medium,42
60,Turbofan-C,172,LINE-3,572.1,8224,night,low,30
61,Turbofan-C,185,LINE-4,574.2,9294,afternoon,high,38
62,Turbofan-A,180,LINE-2,518.2,8801,morning,high,39
63,Turbofan-A,174,LINE-4,546.8,8494,night,medium,22
64,Turbofan-B,283,LINE-3,564.8,9304,night,high,15
65,Turbofan-C,153,LINE-3,543.6,9453,morning,medium,41
66,Turbofan-A,202,LINE-5,611.0,9026,night,low,22
67,Turbofan-C,313,LINE-2,576.8,9564,night,low,29
68,Turbofan-C,199,LINE-4,574.4,9259,night,medium,11
69,Turbofan-C,362,LINE-1,533.4,8999,afternoon,medium,61
70,Turbofan-A,137,LINE-5,554.0,8889,afternoon,low,21
71,Turbofan-C,208,LINE-5,542.9,8547,night,high,48
72,Turbofan-C,213,LINE-1,543.4,9571,afternoon,high,50
73,Turbofan-A,213,LINE-3,574.4,9518,night,medium,49
74,Turbofan-B,166,LINE-4,598.7,8438,morning,high,47
75,Turbofan-C,229,LINE-1,504.7,8110,morning,medium,26
76,Turbofan-A,210,LINE-2,499.3,8979,night,medium,29
77,Turbofan-A,154,LINE-1,547.8,8821,morning,high,39
78,Turbofan-C,231,LINE-4,510.3,8882,morning,medium,9
79,Turbofan-B,199,LINE-1,616.4,8143,night,high,43
80,Turbofan-C,185,LINE-2,568.9,9618,night,low,45
81,Turbofan-A,240,LINE-2,529.0,10093,morning,high,61
82,Turbofan-A,214,LINE-5,576.6,9017,night,high,58
83,Turbofan-B,293,LINE-2,570.8,8858,afternoon,low,87
84,Turbofan-C,267,LINE-4,567.4,8899,morning,medium,20
85,Turbofan-A,188,LINE-3,551.6,9367,morning,low,52
86,Turbofan-B,278,LINE-5,564.0,8645,morning,critical,14
87,Turbofan-C,178,LINE-2,495.6,9820,night,medium,14
88,Turbofan-C,213,LINE-3,530.8,8911,afternoon,medium,6
89,Turbofan-B,217,LINE-2,551.9,9101,afternoon,critical,34
90,Turbofan-C,154,LINE-1,544.1,8623,night,medium,35
91,Turbofan-B,135,LINE-4,571.2,8914,morning,critical,18
92,Turbofan-C,341,LINE-5,566.7,8685,night,medium,86
93,Turbofan-A,155,LINE-4,512.1,9967,night,high,14
94,Turbofan-A,258,LINE-5,530.8,9409,afternoon,medium,4
95,Turbofan-B,283,LINE-1,501.9,9118,night,low,16
96,Turbofan-A,336,LINE-5,596.7,9353,morning,medium,53
97,Turbofan-B,202,LINE-1,533.1,9200,morning,low,38
98,Turbofan-A,156,LINE-2,549.7,9430,morning,high,10
99,Turbofan-C,185,LINE-5,601.4,9413,morning,high,33
100,Turbofan-C,200,LINE-5,543.2,9729,night,medium,24
101,Turbofan-A,149,LINE-4,553.0,8914,night,medium,33
102,Turbofan-A,269,LINE-3,525.5,9767,afternoon,high,80
103,Turbofan-B,206,LINE-3,594.7,9342,afternoon,low,53
104,Turbofan-B,235,LINE-5,529.7,8842,afternoon,low,36
105,Turbofan-B,154,LINE-3,576.6,9257,afternoon,medium,40
106,Turbofan-B,175,LINE-5,554.5,9661,afternoon,medium,23
107,Turbofan-A,174,LINE-5,524.2,9579,afternoon,medium,2
108,Turbofan-B,151,LINE-2,528.3,8582,morning,medium,12
109,Turbofan-C,199,LINE-1,573.9,9134,night,high,8
110,Turbofan-B,184,LINE-1,502.3,9312,morning,medium,23
111,Turbofan-C,271,LINE-5,555.1,8312,afternoon,low,63
112,Turbofan-A,249,LINE-2,518.3,8817,afternoon,low,55
113,Turbofan-A,227,LINE-5,557.4,8875,morning,medium,29
114,Turbofan-A,193,LINE-3,595.1,9421,morning,low,27
115,Turbofan-B,209,LINE-5,540.7,10207,night,high,9
116,Turbofan-A,154,LINE-1,549.3,8399,morning,medium,44
117,Turbofan-A,180,LINE-3,494.0,9218,night,medium,38
118,Turbofan-A,209,LINE-4,523.8,8840,morning,medium,13
119,Turbofan-C,163,LINE-1,578.0,9445,night,low,4
120,Turbofan-C,154,LINE-2,559.9,9667,afternoon,medium,39
121,Turbofan-B,189,LINE-1,522.2,8844,morning,critical,26
122,Turbofan-C,192,LINE-4,518.4,9353,morning,high,28
123,Turbofan-B,211,LINE-4,475.4,9517,afternoon,medium,10
124,Turbofan-B,191,LINE-1,563.5,8956,night,low,13
125,Turbofan-A,205,LINE-4,454.4,8792,afternoon,high,50
126,Turbofan-C,187,LINE-2,508.6,9225,afternoon,medium,12
127,Turbofan-A,176,LINE-3,578.5,9026,afternoon,medium,15
128,Turbofan-C,200,LINE-4,498.6,8908,night,high,57
129,Turbofan-C,151,LINE-4,541.8,8635,morning,high,4
130,Turbofan-C,166,LINE-3,580.0,9116,night,low,2
131,Turbofan-B,343,LINE-5,529.7,8648,night,high,49
132,Turbofan-A,281,LINE-1,556.4,9321,night,high,43
133,Turbofan-C,195,LINE-5,522.6,8969,afternoon,high,53
134,Turbofan-A,205,LINE-2,595.4,9272,night,high,20
135,Turbofan-A,196,LINE-5,550.2,9137,afternoon,medium,20
136,Turbofan-C,203,LINE-4,611.4,8721,morning,critical,20
137,Turbofan-B,210,LINE-3,578.2,8712,night,low,28
138,Turbofan-A,177,LINE-1,527.7,9045,night,medium,27
139,Turbofan-C,214,LINE-4,567.7,8289,night,medium,53
140,Turbofan-A,193,LINE-1,534.9,7997,night,high,57
141,Turbofan-A,262,LINE-3,574.2,7912,night,low,25
142,Turbofan-C,221,LINE-1,581.5,8918,afternoon,low,14
143,Turbofan-C,211,LINE-4,610.1,9897,night,medium,50
144,Turbofan-B,205,LINE-5,564.3,9151,morning,medium,53
145,Turbofan-A,151,LINE-2,534.3,8538,morning,low,25
146,Turbofan-C,201,LINE-2,539.9,8886,morning,low,3
147,Turbofan-A,246,LINE-1,600.6,9369,morning,critical,49
148,Turbofan-A,239,LINE-2,516.4,9447,morning,medium,61
149,Turbofan-A,168,LINE-3,612.1,9864,morning,medium,34
150,Turbofan-C,222,LINE-4,550.3,9259,night,low,15
151,Turbofan-B,293,LINE-2,569.4,8487,afternoon,medium,21
152,Turbofan-A,174,LINE-1,538.7,9091,night,medium,49
153,Turbofan-C,148,LINE-4,592.8,7834,night,high,6
154,Turbofan-A,199,LINE-2,548.2,8644,night,medium,47
155,Turbofan-A,159,LINE-5,488.4,9295,afternoon,critical,32
156,Turbofan-A,163,LINE-3,582.0,9496,morning,high,16
157,Turbofan-A,140,LINE-4,578.0,8368,night,high,26
158,Turbofan-A,162,LINE-3,548.6,8954,afternoon,high,23
159,Turbofan-B,194,LINE-1,516.1,9194,morning,critical,54
160,Turbofan-A,177,LINE-5,550.6,8419,night,high,48
161,Turbofan-A,218,LINE-2,603.3,8805,morning,high,1
162,Turbofan-B,184,LINE-1,545.3,9743,afternoon,high,7
163,Turbofan-C,168,LINE-1,497.6,9164,morning,critical,12
164,Turbofan-A,282,LINE-1,531.3,8603,morning,medium,1
165,Turbofan-B,206,LINE-2,524.1,8935,morning,medium,33
166,Turbofan-C,170,LINE-5,590.9,9245,night,high,1
167,Turbofan-C,145,LINE-1,555.5,8755,night,medium,18
168,Turbofan-B,185,LINE-4,581.1,8639,afternoon,critical,30
169,Turbofan-A,136,LINE-2,560.1,8623,night,critical,7
170,Turbofan-A,156,LINE-1,566.0,9489,morning,medium,7
171,Turbofan-B,194,LINE-4,533.5,9546,afternoon,low,33
172,Turbofan-A,196,LINE-1,552.0,8664,morning,medium,10
173,Turbofan-C,239,LINE-3,544.9,8559,afternoon,high,52
174,Turbofan-A,158,LINE-3,569.3,8884,morning,medium,22
175,Turbofan-C,231,LINE-2,508.5,8817,afternoon,low,1
176,Turbofan-A,244,LINE-5,544.3,8259,morning,low,8
177,Turbofan-A,185,LINE-4,555.8,9487,afternoon,medium,26
178,Turbofan-B,161,LINE-4,532.5,8505,afternoon,medium,15
179,Turbofan-B,181,LINE-1,576.3,9538,night,critical,25
180,Turbofan-C,221,LINE-5,530.2,8477,night,high,14
181,Turbofan-C,288,LINE-2,555.5,9794,afternoon,high,40
182,Turbofan-A,200,LINE-5,582.9,8803,morning,critical,38
183,Turbofan-C,170,LINE-1,621.7,9475,morning,medium,39
184,Turbofan-C,259,LINE-4,576.6,9430,afternoon,medium,38
185,Turbofan-C,347,LINE-3,554.5,9282,afternoon,medium,33
186,Turbofan-C,190,LINE-2,546.9,8169,morning,low,19
187,Turbofan-B,170,LINE-2,469.1,8873,morning,medium,23
188,Turbofan-C,365,LINE-1,525.5,9414,morning,critical,89
189,Turbofan-C,188,LINE-4,561.4,9467,afternoon,medium,10
190,Turbofan-A,188,LINE-5,499.5,8982,night,high,8
191,Turbofan-C,245,LINE-2,557.7,9962,night,high,53
192,Turbofan-C,188,LINE-5,528.3,9661,afternoon,critical,45
193,Turbofan-A,189,LINE-4,632.6,8928,morning,medium,18
194,Turbofan-B,306,LINE-1,520.6,8634,morning,high,86
195,Turbofan-C,198,LINE-5,565.1,8655,morning,medium,57
196,Turbofan-B,208,LINE-1,476.4,9367,night,low,57
197,Turbofan-A,145,LINE-4,534.1,9477,night,low,34
198,Turbofan-B,167,LINE-5,595.8,9465,night,low,15
199,Turbofan-A,202,LINE-4,579.4,9589,afternoon,high,33
200,Turbofan-C,212,LINE-1,555.2,9989,afternoon,low,29
201,Turbofan-B,211,LINE-1,581.8,9306,afternoon,high,57
202,Turbofan-B,164,LINE-3,542.5,8744,afternoon,low,5
203,Turbofan-B,280,LINE-5,551.2,9031,morning,medium,73
204,Turbofan-A,228,LINE-4,590.4,8640,night,medium,55
205,Turbofan-C,303,LINE-1,559.9,9479,night,high,27
206,Turbofan-C,272,LINE-2,565.6,9750,night,low,19
207,Turbofan-C,145,LINE-1,564.7,9085,morning,low,30
208,Turbofan-B,156,LINE-1,529.6,8971,morning,critical,46
209,Turbofan-C,220,LINE-2,534.3,8415,morning,low,2
210,Turbofan-C,221,LINE-2,519.7,9081,morning,low,38
211,Turbofan-A,200,LINE-5,515.4,8232,morning,critical,3
212,Turbofan-A,378,LINE-2,490.5,8490,morning,high,76
213,Turbofan-B,232,LINE-2,554.6,8331,morning,critical,43
214,Turbofan-A,203,LINE-2,525.5,9746,morning,high,56
215,Turbofan-A,206,LINE-1,552.7,8599,morning,medium,43
216,Turbofan-C,207,LINE-5,560.7,8587,morning,high,11
217,Turbofan-A,177,LINE-4,546.1,9260,night,medium,12
218,Turbofan-C,344,LINE-3,567.5,9068,afternoon,low,4
219,Turbofan-A,174,LINE-2,543.4,9376,night,low,48
220,Turbofan-C,129,LINE-5,558.0,7905,night,high,22
221,Turbofan-C,210,LINE-2,553.4,9077,morning,low,28
222,Turbofan-B,185,LINE-1,539.4,8668,afternoon,high,14
223,Turbofan-B,226,LINE-1,498.1,8271,afternoon,medium,56
224,Turbofan-C,267,LINE-1,520.3,8780,afternoon,high,49
225,Turbofan-B,168,LINE-2,566.2,9979,morning,critical,38
226,Turbofan-B,199,LINE-3,535.3,9171,night,high,15
227,Turbofan-C,256,LINE-3,565.1,9325,afternoon,medium,13
228,Turbofan-A,303,LINE-5,540.9,9673,morning,high,5
229,Turbofan-A,202,LINE-5,543.7,8857,afternoon,high,21
230,Turbofan-B,182,LINE-5,550.3,9546,afternoon,low,47
231,Turbofan-A,280,LINE-1,575.8,8485,night,medium,41
232,Turbofan-B,183,LINE-4,550.2,8802,night,medium,45
233,Turbofan-C,159,LINE-1,532.7,8723,afternoon,medium,3
234,Turbofan-C,247,LINE-1,587.5,9135,night,high,69
235,Turbofan-B,294,LINE-4,519.4,9902,afternoon,high,60
236,Turbofan-A,160,LINE-5,479.6,8385,morning,medium,36
237,Turbofan-C,148,LINE-1,475.1,8993,morning,medium,30
238,Turbofan-C,200,LINE-4,522.0,9092,morning,medium,24
239,Turbofan-B,194,LINE-2,511.6,8272,night,low,52
240,Turbofan-B,214,LINE-5,507.7,9189,morning,high,59
241,Turbofan-C,163,LINE-5,522.5,9138,afternoon,medium,43
242,Turbofan-B,208,LINE-4,531.2,9185,night,medium,42
243,Turbofan-B,166,LINE-4,552.4,8962,morning,high,34
244,Turbofan-A,224,LINE-1,578.3,9368,morning,medium,59
245,Turbofan-B,251,LINE-1,548.5,8637,afternoon,medium,48
246,Turbofan-A,263,LINE-1,527.8,9481,afternoon,high,31
247,Turbofan-B,207,LINE-2,574.8,8312,afternoon,low,33
248,Turbofan-C,279,LINE-5,530.2,9456,afternoon,medium,73
249,Turbofan-A,289,LINE-3,557.2,8415,night,high,70
250,Turbofan-A,222,LINE-2,545.3,9532,afternoon,medium,44
251,Turbofan-C,177,LINE-4,553.1,9033,night,high,14
252,Turbofan-C,184,LINE-2,567.3,8448,afternoon,high,47
253,Turbofan-B,292,LINE-2,500.8,8400,night,low,9
254,Turbofan-A,193,LINE-4,526.1,8800,afternoon,medium,45
255,Turbofan-C,226,LINE-5,549.3,8942,morning,high,28
256,Turbofan-B,299,LINE-2,558.8,9274,night,medium,25
257,Turbofan-B,237,LINE-2,552.7,8494,night,low,62
258,Turbofan-B,308,LINE-2,525.4,8744,afternoon,medium,26
259,Turbofan-C,241,LINE-5,520.4,8505,night,medium,0
260,Turbofan-A,212,LINE-1,549.1,9673,afternoon,low,15
261,Turbofan-A,224,LINE-1,486.4,8840,night,medium,58
262,Turbofan-B,194,LINE-5,568.9,9582,morning,low,7
263,Turbofan-A,203,LINE-3,579.0,8824,night,low,42
264,Turbofan-B,249,LINE-5,554.4,9776,afternoon,medium,36
265,Turbofan-C,165,LINE-5,548.3,9058,morning,high,11
266,Turbofan-C,204,LINE-4,564.4,9270,morning,high,42
267,Turbofan-C,232,LINE-1,558.0,8217,morning,high,29
268,Turbofan-C,217,LINE-5,502.6,8261,night,medium,13
269,Turbofan-A,185,LINE-1,501.1,8950,afternoon,medium,44
270,Turbofan-C,179,LINE-5,555.1,9263,night,critical,21
271,Turbofan-C,258,LINE-4,564.6,9661,morning,medium,20
272,Turbofan-B,174,LINE-5,565.5,8233,afternoon,high,9
273,Turbofan-C,151,LINE-4,540.8,9953,night,low,9
274,Turbofan-B,193,LINE-3,549.0,8981,night,low,46
275,Turbofan-B,202,LINE-3,539.3,8838,afternoon,critical,15
276,Turbofan-C,164,LINE-1,494.0,8824,night,medium,35
277,Turbofan-C,181,LINE-2,570.0,9691,night,high,32
278,Turbofan-B,148,LINE-1,561.2,8796,afternoon,medium,27
279,Turbofan-B,181,LINE-5,539.3,8408,night,medium,23
280,Turbofan-C,297,LINE-3,512.6,8753,morning,medium,21
281,Turbofan-C,255,LINE-5,517.1,9975,night,low,26
282,Turbofan-B,200,LINE-5,601.5,9127,night,high,0
283,Turbofan-A,207,LINE-5,529.5,8441,night,high,1
284,Turbofan-C,171,LINE-3,526.3,9177,afternoon,medium,24
285,Turbofan-A,162,LINE-1,541.7,8851,afternoon,low,0
286,Turbofan-B,194,LINE-1,528.8,8902,night,high,36
287,Turbofan-C,168,LINE-3,551.4,8981,night,medium,46
288,Turbofan-B,148,LINE-4,488.2,8892,afternoon,low,19
289,Turbofan-C,209,LINE-5,557.5,9613,morning,medium,0
290,Turbofan-B,257,LINE-1,575.4,9020,afternoon,low,0
291,Turbofan-C,219,LINE-2,548.7,9190,morning,medium,13
292,Turbofan-B,133,LINE-4,588.1,8833,afternoon,medium,21
293,Turbofan-C,172,LINE-2,602.2,8528,morning,high,43
294,Turbofan-B,148,LINE-1,532.2,8415,afternoon,medium,44
295,Turbofan-C,190,LINE-4,546.2,7759,night,high,17
296,Turbofan-A,239,LINE-2,563.0,8491,night,high,4
297,Turbofan-B,154,LINE-2,543.8,9575,night,medium,37
298,Turbofan-C,205,LINE-5,563.4,7797,afternoon,medium,49
299,Turbofan-C,219,LINE-2,534.3,8447,afternoon,low,48
300,Turbofan-B,227,LINE-5,536.6,9536,morning,medium,39
301,Turbofan-B,191,LINE-4,581.5,8909,afternoon,low,29
302,Turbofan-B,197,LINE-3,516.1,9647,night,low,43
303,Turbofan-A,269,LINE-4,568.1,8654,afternoon,high,40
304,Turbofan-A,237,LINE-4,546.5,9401,afternoon,critical,22
305,Turbofan-A,198,LINE-2,586.5,8972,night,critical,33
306,Turbofan-C,221,LINE-5,612.2,9089,morning,high,64
307,Turbofan-A,184,LINE-1,553.5,9418,afternoon,high,25
308,Turbofan-B,150,LINE-4,504.4,8952,morning,high,7
309,Turbofan-A,201,LINE-3,493.0,9248,afternoon,critical,14
310,Turbofan-A,184,LINE-1,491.2,8219,night,low,21
311,Turbofan-B,214,LINE-5,514.1,9059,morning,low,17
312,Turbofan-A,149,LINE-4,555.2,9151,afternoon,medium,19
313,Turbofan-C,196,LINE-3,495.6,9508,afternoon,high,19
314,Turbofan-C,146,LINE-5,506.3,8715,afternoon,medium,38
315,Turbofan-C,226,LINE-3,535.1,9451,morning,medium,44
316,Turbofan-B,229,LINE-5,533.2,9599,night,high,20
317,Turbofan-C,162,LINE-1,551.1,8886,night,medium,32
318,Turbofan-B,237,LINE-1,558.4,8673,afternoon,low,0
319,Turbofan-A,156,LINE-5,535.8,8773,night,medium,17
320,Turbofan-B,234,LINE-1,522.6,9131,night,high,7
321,Turbofan-A,178,LINE-3,577.9,8891,afternoon,high,11
322,Turbofan-C,195,LINE-4,506.6,9296,afternoon,medium,53
323,Turbofan-B,218,LINE-2,500.3,8401,morning,medium,31
324,Turbofan-C,174,LINE-2,534.1,8820,night,high,48
325,Turbofan-A,156,LINE-3,530.6,8397,night,medium,14
326,Turbofan-C,178,LINE-1,530.8,8856,afternoon,medium,38
327,Turbofan-B,184,LINE-3,572.0,8430,night,high,40
328,Turbofan-A,262,LINE-1,562.5,9334,morning,low,0
329,Turbofan-B,176,LINE-3,514.7,8984,morning,high,35
330,Turbofan-C,186,LINE-4,601.4,8835,night,high,31
331,Turbofan-B,144,LINE-2,504.3,9310,night,medium,16
332,Turbofan-A,242,LINE-5,576.6,9030,morning,medium,68
333,Turbofan-A,190,LINE-5,507.7,9126,afternoon,medium,40
334,Turbofan-B,159,LINE-3,543.5,9042,afternoon,critical,26
335,Turbofan-A,183,LINE-5,569.7,8241,morning,low,8
336,Turbofan-C,239,LINE-3,518.3,9648,night,critical,25
337,Turbofan-A,209,LINE-2,518.5,9169,night,low,50
338,Turbofan-A,156,LINE-2,599.7,8762,morning,medium,29
339,Turbofan-B,263,LINE-3,521.4,9584,afternoon,low,39
340,Turbofan-A,266,LINE-1,598.8,9348,morning,high,35
341,Turbofan-B,183,LINE-3,590.3,9236,afternoon,medium,29
342,Turbofan-A,273,LINE-2,557.8,8915,afternoon,high,5
343,Turbofan-C,230,LINE-5,531.8,9589,night,critical,15
344,Turbofan-A,128,LINE-1,558.8,8905,night,medium,3
345,Turbofan-B,253,LINE-4,547.5,9227,night,high,52
346,Turbofan-A,194,LINE-3,530.8,9629,afternoon,medium,3
347,Turbofan-C,197,LINE-4,525.1,8985,afternoon,medium,33
348,Turbofan-A,234,LINE-2,567.8,8812,night,medium,41
349,Turbofan-A,202,LINE-5,575.7,7925,afternoon,high,33
350,Turbofan-C,184,LINE-4,501.0,9191,afternoon,medium,50
351,Turbofan-A,266,LINE-3,535.7,9254,afternoon,medium,43
352,Turbofan-A,135,LINE-3,530.9,9081,afternoon,medium,1
353,Turbofan-A,149,LINE-3,558.8,9001,morning,high,9
354,Turbofan-C,260,LINE-5,522.5,9284,afternoon,critical,52
355,Turbofan-A,340,LINE-4,598.0,9190,morning,low,19
356,Turbofan-C,163,LINE-4,504.2,8902,afternoon,medium,38
357,Turbofan-C,309,LINE-1,547.9,8972,night,medium,67
358,Turbofan-C,143,LINE-5,567.4,9063,night,low,4
359,Turbofan-A,205,LINE-5,579.8,8307,afternoon,critical,13
360,Turbofan-C,316,LINE-1,520.5,8201,morning,low,46
361,Turbofan-B,259,LINE-1,515.7,8785,morning,high,36
362,Turbofan-A,253,LINE-2,555.5,8022,night,medium,15
363,Turbofan-C,222,LINE-4,555.7,9105,morning,high,8
364,Turbofan-C,272,LINE-5,572.3,8616,morning,critical,52
365,Turbofan-B,213,LINE-1,523.2,9719,afternoon,medium,53
366,Turbofan-B,278,LINE-3,539.1,9357,night,medium,67
367,Turbofan-B,424,LINE-2,548.3,10253,afternoon,high,51
368,Turbofan-C,267,LINE-2,528.5,8645,afternoon,low,67
369,Turbofan-A,406,LINE-2,593.9,9565,night,low,75
370,Turbofan-C,481,LINE-1,543.2,9263,afternoon,high,112
371,Turbofan-A,197,LINE-5,565.9,8862,night,critical,50
372,Turbofan-A,170,LINE-3,605.0,8412,night,medium,18
373,Turbofan-C,185,LINE-2,571.4,8864,night,critical,40
374,Turbofan-B,207,LINE-3,536.1,8776,night,medium,3
375,Turbofan-B,202,LINE-2,553.5,9202,night,medium,37
376,Turbofan-C,344,LINE-5,558.8,8941,afternoon,high,79
377,Turbofan-A,312,LINE-1,558.1,8914,afternoon,low,5
378,Turbofan-A,447,LINE-4,509.6,9579,afternoon,medium,18
379,Turbofan-B,229,LINE-5,550.1,7760,night,critical,24
380,Turbofan-A,338,LINE-4,613.8,8337,morning,medium,32
381,Turbofan-C,220,LINE-3,552.4,8715,afternoon,high,45
382,Turbofan-C,192,LINE-3,556.6,9557,night,high,6
383,Turbofan-A,196,LINE-1,550.5,9359,night,high,7
384,Turbofan-B,494,LINE-3,546.9,8930,afternoon,medium,33
385,Turbofan-C,193,LINE-5,556.0,8981,afternoon,high,0
386,Turbofan-C,243,LINE-3,554.3,8746,afternoon,medium,28
387,Turbofan-C,320,LINE-3,553.2,8602,night,medium,65
388,Turbofan-A,200,LINE-4,604.3,9674,morning,medium,45
389,Turbofan-B,223,LINE-3,543.1,8916,morning,medium,62
390,Turbofan-A,218,LINE-2,474.1,9411,night,medium,56
391,Turbofan-C,183,LINE-4,563.5,9009,afternoon,medium,52
392,Turbofan-C,189,LINE-5,605.9,8665,afternoon,medium,18
393,Turbofan-B,231,LINE-1,518.8,9454,afternoon,medium,31
394,Turbofan-C,459,LINE-4,546.0,8741,night,high,80
395,Turbofan-B,231,LINE-3,530.6,9255,night,medium,42
396,Turbofan-C,324,LINE-5,571.7,9370,afternoon,high,29
397,Turbofan-A,324,LINE-5,590.8,8935,afternoon,critical,16
398,Turbofan-A,201,LINE-3,560.1,8287,night,medium,17
399,Turbofan-C,288,LINE-5,532.0,9495,afternoon,critical,33
400,Turbofan-C,188,LINE-4,540.3,9614,night,high,50
401,Turbofan-B,295,LINE-4,572.0,9120,afternoon,high,23
402,Turbofan-C,193,LINE-4,537.8,8086,night,medium,48
403,Turbofan-B,321,LINE-2,588.9,9150,night,low,69
404,Turbofan-B,180,LINE-2,613.1,9938,afternoon,medium,43
405,Turbofan-B,205,LINE-4,560.7,9454,night,low,31
406,Turbofan-A,204,LINE-2,587.2,8691,afternoon,low,52
407,Turbofan-C,269,LINE-5,556.3,9192,morning,high,60
408,Turbofan-A,174,LINE-1,602.9,8649,night,medium,33
409,Turbofan-B,256,LINE-4,543.8,8503,morning,low,18
410,Turbofan-A,161,LINE-3,511.2,8737,morning,high,16
411,Turbofan-B,190,LINE-1,546.4,8855,morning,medium,55
412,Turbofan-A,222,LINE-3,578.8,8989,afternoon,low,10
413,Turbofan-C,164,LINE-4,533.8,9483,afternoon,medium,5
414,Turbofan-C,194,LINE-2,525.4,9376,night,high,27
415,Turbofan-C,525,LINE-2,575.0,8993,morning,medium,40
416,Turbofan-A,195,LINE-1,501.6,8948,morning,medium,58
417,Turbofan-A,215,LINE-1,539.1,9004,afternoon,critical,43
418,Turbofan-A,178,LINE-4,559.0,9622,afternoon,high,3
419,Turbofan-B,299,LINE-4,565.8,9592,afternoon,high,64
420,Turbofan-A,190,LINE-2,542.7,9023,morning,critical,4
421,Turbofan-C,199,LINE-2,520.8,9094,morning,low,49
422,Turbofan-A,246,LINE-2,546.5,8503,morning,medium,27
