machine,risk_score,risk_level,action,scheduled_slot,is_anomalous
Engine-692,1.0,Service Immediately,Immediate maintenance,4.0,False
Engine-664,1.0,Service Immediately,Immediate maintenance,2.0,True
Engine-689,1.0,Service Immediately,Immediate maintenance,4.0,True
Engine-691,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-601,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-316,1.0,Service Immediately,Immediate maintenance,1.0,False
Engine-340,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-338,1.0,Service Immediately,Immediate maintenance,5.0,False
Engine-367,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-373,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-344,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-346,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-379,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-380,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-390,1.0,Service Immediately,Immediate maintenance,1.0,True
Engine-386,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-467,1.0,Service Immediately,Immediate maintenance,8.0,False
Engine-459,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-392,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-402,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-419,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-414,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-428,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-455,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-472,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-460,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-462,1.0,Service Immediately,Immediate maintenance,8.0,False
Engine-493,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-490,1.0,Service Immediately,Immediate maintenance,5.0,True
Engine-485,1.0,Service Immediately,Immediate maintenance,8.0,False
Engine-477,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-476,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-703,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-701,1.0,Service Immediately,Immediate maintenance,3.0,False
Engine-707,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-662,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-647,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-492,1.0,Service Immediately,Immediate maintenance,5.0,True
Engine-521,1.0,Service Immediately,Immediate maintenance,4.0,True
Engine-505,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-562,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-563,1.0,Service Immediately,Immediate maintenance,3.0,False
Engine-561,1.0,Service Immediately,Immediate maintenance,2.0,False
Engine-556,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-593,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-567,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-566,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-565,1.0,Service Immediately,Immediate maintenance,3.0,False
Engine-615,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-509,0.9999,Service Immediately,Immediate maintenance,N/A,True
Engine-081,0.9999,Service Immediately,Immediate maintenance,N/A,False
Engine-035,0.9999,Service Immediately,Immediate maintenance,N/A,False
Engine-015,0.9999,Service Immediately,Immediate maintenance,N/A,False
Engine-092,0.9999,Service Immediately,Immediate maintenance,N/A,True
Engine-331,0.9999,Service Immediately,Immediate maintenance,N/A,False
Engine-436,0.9999,Service Immediately,Immediate maintenance,1.0,False
Engine-475,0.9999,Service Immediately,Immediate maintenance,N/A,True
Engine-511,0.9999,Service Immediately,Immediate maintenance,N/A,True
Engine-499,0.9999,Service Immediately,Immediate maintenance,N/A,True
Engine-456,0.9998,Service Immediately,Immediate maintenance,N/A,True
Engine-309,0.9998,Service Immediately,Immediate maintenance,N/A,False
Engine-388,0.9998,Service Immediately,Immediate maintenance,N/A,False
Engine-623,0.9995,Service Immediately,Immediate maintenance,2.0,True
Engine-107,0.9967,Service Immediately,Immediate maintenance,N/A,True
